,tempo,loudness,danceability,energy
0,128.214,-10.866,0.5539999999999999,0.33
1,126.998,-7.585,0.7490000000000001,0.662
2,98.507,-10.773,0.49,0.418
3,139.909,-5.734,0.585,0.7020000000000001
4,120.854,-4.088,0.508,0.826
5,117.033,-6.132999999999999,0.8220000000000001,0.672
6,123.58,-6.039,0.606,0.913
7,190.053,-5.4,0.545,0.943
8,178.084,-10.152,0.301,0.5710000000000001
9,138.495,-6.784,0.622,0.818
10,174.523,-5.291,0.627,0.6729999999999999
11,165.747,-11.589,0.687,0.361
12,159.256,-8.329,0.404,0.556
13,80.51100000000002,-8.406,0.537,0.502
14,128.99,-4.221,0.7040000000000001,0.861
15,83.969,-5.603,0.609,0.743
16,79.923,-6.206,0.5710000000000001,0.43
17,140.037,-8.871,0.647,0.468
18,110.993,-11.326,0.7170000000000001,0.46
19,101.017,-5.407,0.526,0.894
20,178.58900000000003,-4.807,0.434,0.758
21,174.03799999999995,-3.139,0.42,0.969
22,138.013,-8.192,0.419,0.473
23,165.69299999999996,-8.785,0.536,0.457
24,82.061,-6.0470000000000015,0.743,0.821
25,96.035,-5.3260000000000005,0.65,0.947
26,128.811,-4.148,0.727,0.812
27,111.032,-8.649,0.816,0.5489999999999999
28,125.054,-3.686,0.728,0.858
29,183.883,-5.464,0.503,0.611
30,104.984,-6.801,0.696,0.586
31,104.884,-8.492,0.632,0.353
32,97.718,-5.649,0.772,0.8220000000000001
33,82.324,-3.208,0.645,0.878
34,139.942,-9.944,0.667,0.441
35,111.474,-9.102,0.877,0.542
36,138.264,-3.57,0.585,0.977
37,77.47800000000002,-8.092,0.472,0.69
38,164.032,-4.487,0.466,0.852
39,127.966,-3.927,0.614,0.972
40,83.495,-4.897,0.758,0.7859999999999999
41,97.544,-9.307,0.499,0.502
42,114.804,-6.057,0.695,0.7959999999999999
43,98.057,-3.977,0.5720000000000001,0.825
44,127.986,-6.252999999999999,0.606,0.72
45,95.973,-27.781,0.133,0.017
46,175.09400000000005,-12.461,0.477,0.519
47,102.027,-3.947,0.607,0.867
48,124.987,-2.793,0.685,0.944
49,133.209,-3.596,0.81,0.931
50,143.93200000000004,-2.7,0.6609999999999999,0.733
51,106.489,-8.927,0.358,0.546
52,122.058,-5.069,0.5429999999999999,0.8759999999999999
53,81.616,-29.76,0.132,0.0195
54,163.987,-5.461,0.48,0.718
55,128.0,-4.331,0.537,0.7859999999999999
56,115.206,-5.005,0.517,0.779
57,110.027,-9.21,0.7979999999999999,0.443
58,144.07,-4.074,0.902,0.67
59,100.02,-4.809,0.512,0.812
60,132.016,-8.04,0.4,0.494
61,146.099,-9.155,0.535,0.445
62,88.96700000000001,-6.48,0.605,0.6779999999999999
63,135.999,-5.143,0.493,0.63
64,120.004,-7.895,0.944,0.514
65,109.891,-10.597,0.7609999999999999,0.311
66,129.995,-7.935,0.394,0.475
67,66.734,-11.75,0.447,0.206
68,152.98,-8.392000000000001,0.585,0.643
69,171.06,-19.787,0.075,0.00344
70,160.077,-4.063,0.426,0.934
71,144.933,-4.948,0.75,0.4970000000000001
72,89.03200000000002,-4.309,0.667,0.6779999999999999
73,95.423,-11.429,0.475,0.149
74,147.159,-4.516,0.271,0.903
75,79.845,-6.053,0.496,0.57
76,139.064,-2.35,0.45,0.857
77,80.098,-11.368,0.494,0.17
78,129.964,-5.7360000000000015,0.723,0.443
79,135.89600000000002,-2.623,0.516,0.946
80,98.6,-8.158999999999999,0.862,0.7659999999999999
81,170.06599999999997,-4.471,0.691,0.67
82,66.945,-11.423,0.45,0.189
83,146.696,-10.377,0.353,0.311
84,96.782,-6.064,0.4,0.7240000000000001
85,177.843,-4.086,0.6629999999999999,0.8009999999999999
86,107.963,-5.829,0.894,0.721
87,86.98299999999998,-4.836,0.628,0.74
88,122.311,-26.759,0.429,0.0541
89,125.072,-4.6789999999999985,0.7190000000000001,0.809
90,76.97,-6.0539999999999985,0.5870000000000001,0.63
91,133.85299999999998,-22.396,0.278,0.0434
92,170.375,-1.5319999999999998,0.244,0.955
93,116.542,-15.753,0.476,0.192
94,112.827,-5.732,0.565,0.8320000000000001
95,191.95,-6.1670000000000025,0.639,0.785
96,105.052,-7.89,0.621,0.551
97,141.928,-5.857,0.6829999999999999,0.414
98,81.654,-28.239,0.358,0.00409
